Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
2412000,Powiat rybnicki,"99,44","4,3",2895,"6,56","93,42","5,9","5078,82"
2413000,Powiat tarnogórski,"747,42","4,2",3875,"5,30","93,74","6,0","5320,63"
2414000,Powiat bieruńsko-lędziński,"463,07","4,2",8346,"15,52","92,46","2,0","5054,59"
2415000,Powiat wodzisławski,"1405,22","4,6",3525,"4,35","94,79","5,9","4708,55"
2416000,Powiat zawierciański,"279,39","3,9",3954,"5,81","94,55","5,6","5807,30"
2417000,Powiat żywiecki,"61,00","4,7",2657,"4,88","98,68","6,7","5437,65"
2461000,Powiat m. Bielsko-Biała,"2017,54","3,9",7048,"4,70","106,10","2,2","5789,65"
2462000,Powiat m. Bytom,"1652,64","4,5",1912,"5,00","94,27","8,6","5562,14"
2463000,Powiat m. Chorzów,"47897,42","4,7",6779,"7,10","98,96","3,4","5282,22"
2464000,Powiat m. Częstochowa,"7519,76","4,4",3781,"4,01","103,24","3,6","5307,19"
2465000,Powiat m. Dąbrowa Górnicza,"48368,85","3,6",11159,"5,78","97,81","4,8","6360,81"
2466000,Powiat m. Gliwice,"3520,40","4,7",11560,"7,10","99,55","3,0","6698,45"
2467000,Powiat m. Jastrzębie-Zdrój,"6848,87","4,5",5839,"7,43","96,57","4,7","8987,51"
2468000,Powiat m. Jaworzno,"39488,01","4,3",3134,"7,63","94,53","4,6","6435,97"
2469000,Powiat m. Katowice,"6055,65","4,7",8100,"5,30","106,52","1,8","6924,74"
2470000,Powiat m. Mysłowice,"1585,76","4,4",3462,"7,40","91,59","6,0","5216,97"
2471000,Powiat m. Piekary Śląskie,"2259,58","4,5",2027,"7,94","96,46","6,9","5732,54"
2472000,Powiat m. Ruda Śląska,"2477,65","4,7",3428,"11,87","93,42","2,6","5318,24"
2473000,Powiat m. Rybnik,"35390,75","4,9",4893,"8,33","96,56","3,2","5447,31"
2474000,Powiat m. Siemianowice Śląskie,"1114,92","4,5",3471,"5,89","95,41","4,3","5389,44"
2475000,Powiat m. Sosnowiec,"1452,56","4,1",3753,"6,53","97,60","6,1","5551,62"
2476000,Powiat m. Świętochłowice,"4299,15","4,3",988,"5,34","90,29","5,3","4816,93"
2477000,Powiat m. Tychy,"9902,21","4,1",9153,"5,22","97,54","2,1","5586,31"
2478000,Powiat m. Zabrze,"6976,99","4,2",4767,"6,65","96,41","5,2","5824,86"
2479000,Powiat m. Żory,"1190,49","4,8",4969,"6,62","96,89","3,7","5195,58"
